name,email,telefon,webseite,plz,stadt,straße,lat,lng,beansprucht
Grümer Dr. und Kollegen Zahnärzte an der Theaterstrasse,info@zahn-theater.de,0241 3 64 61,https://zahn-theater.de/,52062,Aachen,Theaterstr. 50,50.999.644,69.787.704,nein
Debuch Daniel,kontakt@praxis-debuch.de,0241 6 60 65,https://www.praxis-debuch.de/,52066,Aachen,Adenauerallee 150,507.575.072,61.071.811,nein
Moschel Sascha Zahnarzt,mail@moschel-dent.de,0241 50 56 08,https://www.moschel-dent.de/,52062,Aachen,Heinrichsallee 14,507.755.259,6.096.225,nein
Vigna Manfred Zahnarzt,manfred.vigna@arcor.de,0241 70 73 73,https://www.praxis-vigna.de/,52064,Aachen,Kamper Str. 24,5.434.489,1.009.693,nein
Dr. med. dent Peter Wüllenweber Fachzahnarztpraxis für Kieferorthopädie,post@dr-wuellenweber.de,0241 4 01 70 61,https://www.dr-wuellenweber.de/,52062,Aachen,Theaterstr. 98-102,5.076.963,609.421,nein
Mansouri Said Dr.med.dent. Zahnarzt,praxis@dr-mansouri.de,0241 50 25 63,https://www.dr-mansouri.de/,52062,Aachen,Heinrichsallee 32,5.095.456.679.999.990,6.964.986.199.999.990,nein
Selle Christian Dr. Zahnarzt,praxis@dr-selle.de,0241 3 17 24,https://www.dr-selle.de/,52062,Aachen,Theaterstr. 82-84,5.077.021,609.279,nein
Meurs-Trommer Martina Zahnärztin,praxis@van-meurs-trommer.de,0241 15 30 41,https://www.van-meurs-trommer.de/,52062,Aachen,Monheimsallee 6,48.240.185,100.818.605,nein
Block Emina Zahnarztpraxis,praxis@zahnarzt-block.de,0241 3 17 36,https://www.zahnarzt-block.de/,52026,Aachen,Gasborn 0,4.865.266.459.999.990,92.903.735,nein
Emina Block Zahnärztin,praxis@zahnarzt-block.de,0241 3 17 36,https://www.zahnblock-aachen.de/,52062,Aachen,Gasborn 41,507.756.323,60.947.757,nein
Weigel R. Friedrich Dr.medic.stom. Zahnarzt,rfweigel@gmx.de,0241 3 58 14,https://www.aachen-implantologie.de/,52062,Aachen,Alexianergraben 16,507.723.118,60.833.645,nein
Gustav Marc Dr. Zahnarzt,smile@dr-gustav.de,0241 60 33 03,https://www.dr-gustav.de/,52066,Aachen,Höfchensweg 59,507.499.995,60.810.882,nein
Elias Refghi Zahnarztpraxis,zahnaerzte@amwestpark.de,0241 8 55 99,https://www.amwestpark.de/,52074,Aachen,Vaalser Str. 142,507.706.684,60.657.608,nein
"Simic Zoran Dr.med.dent., Larisa Dr.med.dent. Zahnärztliche Gemeinschaftspraxis",zahnarzt.drsimic@gmail.com,0241 3 17 70,https://www.zahnarzt-simic.de/,52064,Aachen,Boxgraben 31,507.684.028,60.832.709,nein
Berndt Tobias,zahnarzt-berndt@gmx.de,0241 50 47 24,https://www.zahnarzt-berndt.de/,52070,Aachen,Augustastr. 57,5.042.033.259.999.990,7.575.238.199.999.990,nein
Fischer Julia Dr.med.dent. Zahnärztin,,02407 8 00 00,,52072,Aachen,Horbacher Str. 321A,508.331.612,6.044.435,nein
Zahnarztpraxis Dr. Krings,,02408 22 00,,52076,Aachen,Aachener Str. 121,507.245.182,61.463.011,nein
Kuck Ralf Dr. Zahnarzt,,02408 26 67,,52076,Aachen,Schleckheimer Str. 99,507.253.813,61.713.565,nein
"Amjadi-Kemper Arezoo Zahnarztpraxis, Zahnarzt",,0241 15 53 33,,52062,Aachen,Monheimsallee 2,507.787.209,60.949.856,nein
Nienke J. Dr. u. Wehner R.,,0241 15 57 77,,52062,Aachen,Ludwigsallee 57,4.974.813.959.999.990,81.120.467,nein
"Konoval Vadim Dr., Lampert Friedrich Univ.Prof. Dr.med.dent. Zahnärzte",,0241 16 02 87-0,https://www.endodontie-aachen.de,52064,Aachen,Trichtergasse 23,48.700.652,92.150.711,nein
Bartholomäus Alexandra Zahnarztpraxis,,0241 17 42 42,,52072,Aachen,Gierstr. 10,508.163.303,60.554.373,nein
Schultheiß Sabine Zahnärztin,,0241 2 01 41,,52062,Aachen,Templergraben 15,507.760.169,60.757.597,nein
Saei Hosseini Hamed Zahnarztpraxis,,0241 2 56 99,,52064,Aachen,Mauerstr. 95,507.713.077,60.740.025,nein
Kamaran Amin Zahnarzt,,0241 3 53 04,,52062,Aachen,Harscampstr. 43,5.252.408,133.802.743,nein
Chatzipetros Dina Zahnärztin,,0241 3 99 44,,52062,Aachen,Suermondtplatz 2,5.430.568,130.421.033,nein
Beckers Markus P. Zahnarztpraxis,,0241 40 66 22,,52064,Aachen,Jakobstr. 14-16,507.752.695,6.081.075,nein
Baumgarten Th. F. Zahnarztpraxis,,0241 44 65 65 55,,52072,Aachen,Roermonder Str. 386,508.021.932,60.609.337,nein
dent-a-la-carté | Dr. Sven Hertzog,,0241 47 41 00,https://www.zahnarzt.ac/,52062,Aachen,Rochusstraße 22,49.357.844,66.160.561,nein
Pich Olena Dr. Zahnärztin,,0241 50 82 14,,52062,Aachen,Minoritenstr. 9,507.781.348,60.863.189,nein
Gennes Roger Zahnarzt,,0241 50 83 60,,52070,Aachen,Jülicher Str. 4,507.782.841,60.955.453,nein
Kilian Thomas Dr. med. dent.,,0241 51 44 41,,52068,Aachen,Stolberger Str. 15-17,507.760.497,61.112.937,nein
Geisler Dieter Dr.med.dent. Zahnarzt,,0241 52 00 75,https://www.zahnarzt-geisler.de/,52078,Aachen,Trierer Str. 761,5.007.639.469.999.990,82.416.447,nein
Heyman Brigitte Zahnarztpraxis,,0241 52 66 86,,52078,Aachen,Trierer Str. 730,507.505.702,6.161.367,nein
Dr. Z. Zahnarztpraxis Aachen GmbH,,0241 55 91 81 51,https://www.aachen.doktor-z.net/,52062,Aachen,Holzgraben 17,51.571.164,73.820.242,nein
Kieferorthopädische Praxis Dr. Mona Wolfart,,0241 55 97 29 77,,52066,Aachen,Salierallee 18A,507.557.801,60.863.801,nein
"Goldbach Gregor Dr., Uta Sabina Dr.med.dent. Zahnärzte",,0241 57 15 08,,52078,Aachen,Schönforststr. 74,54.150.498,120.605.073,nein
Conrads Paul Zahnarzt,,0241 57 48 84,,52066,Aachen,Im Grüntal 1,507.650.638,61.097.633,nein
Schulze Icking Birgit Dr. Zahnarztpraxis,,0241 6 09 09-0,,52066,Aachen,Eupener Str. 211,507.490.363,60.873.675,nein
Heinker Hans-Werner Dr. Zahnarzt,,0241 6 34 01,,52066,Aachen,Kapellenstr. 16-18,507.613.844,60.926.228,nein
Fröschen Rüdiger Dr. Zahnarzt,,0241 6 67 19,https://www.dr-froeschen.de/,52066,Aachen,Burtscheider Markt 7,50.763.111,60.927.422,nein
Endres Bernhard Zahnarzt,,0241 60 39 30,,52066,Aachen,Neustr. 58,507.637.885,60.887.882,nein
Schippers Werner Zahnarzt,,0241 7 10 83,,52074,Aachen,Vaalser Str. 109,507.702.499,60.653.997,nein
"Deutz Heike Dr., Bouchouchi Nassim Dr. Zahnärzte",,0241 7 56 65,https://www.deutz-bouchouchi.de/,52064,Aachen,Pottenmühlenweg 28,507.678.105,60.692.867,nein
Vlaicu Sanda-Iulia,,0241 7 75 49,,52072,Aachen,Süsterfeldstr. 3-7,507.816.924,60.715.275,nein
Drunkemöller Roswitha Dr.med.dent.,,0241 87 16 46,https://www.aesthetikom.de/,52074,Aachen,Morinerweg 6,50.768.894,60.384.993,nein
Noethlichs Dr.med.dent. Zahnarzt,,0241 87 97 00-0,https://www.dr-noethlichs.de/,52074,Aachen,Vaalser Str. 516,507.701.244,60.291.844,nein
Droste Klaus Dr.med.dent. Zahnarzt,,0241 52 13 88,,52078,Aachen,Trierer Str. 791,507.497.735,61.640.996,nein
Fey Axel Zahnarzt,,0241 52 80 80,,52078,Aachen,Freunder Landstr. 6,507.496.024,61.656.303,nein
Mujkic Nadza Dr.med.dent. Zahnärztin,,0241 55 00 53,https://www.myzahngesundheit.de/,52080,Aachen,Von-Coels-Str. 230,5.248.319.859.999.990,133.539.274,nein
Bodden Astrid Dr. Zahnärztin,info@zahnarztpraxis-boddencox.de,0241 16 19 87,https://www.zahnarztpraxis-boddencox.de/,52080,Aachen,Haarener Gracht 2,4.993.398,6.631.900.000.000.000,nein
Walter P. Dr. Zahnarzt,,0241 16 15 60,,52080,Aachen,Alt-Haarener Str. 99,507.952.093,61.270.049,nein
"Endres Melanie Zahnärzte, Lutz",,02408 16 77,,52076,Aachen,Schleckheimer Str. 18,507.282.205,61.763.503,nein
Aufermann Caroline Zahnärztin,,02408 33 91,,52076,Aachen,St. Gangolfsberg 18,507.269.233,61.795.401,nein
Otto Dr. Zahnarzt,info@zahnarzt.otto-aachen.de,0241 17 12 22,https://www.zahnarzt-otto-aachen.de/,52072,Aachen,Roermonder Str. 292,507.952.044,60.655.359,nein
Jansen Volker K. Dr. med. dent. Zahnarzt,praxis@jansen.ac,0241 9 32 99 55,https://www.za-laurensberg.de/,52072,Aachen,Rathausstr. 10,507.979.256,60.616.006,nein
Kappes Heriberta Dr.med.dent. Zahnärztin,,0241 50 90 57,,52070,Aachen,Adalbertsteinweg 18,507.743.617,60.989.384,nein
Dolezel Peter Dr.med.dent. Zahnarzt,praxis@dr-dolezel.de,02408 70 95 90,https://www.dr-dolezel.de/,52076,Aachen,Nerscheider Weg 60,507.160.974,61.415.341,nein
Baatz Astrid Dr. u. Achim Dr. Zahnärzte,drBaatz@web.de,02408 8 16 66,https://www.zahnarztpraxis-dr-baatz.de/,52076,Aachen,Prämienstr. 19,507.053.623,61.801.679,nein
Dr.med.dent. Alexander Kaul + Dr. med. dent. Katharina Kaul Zahnarztpraxis,rezeption@doctores-kaul.de,02408 8 02 04,https://www.doctores-kaul.de/,52076,Aachen,Schleidener Str. 120,507.086.123,61.829.756,nein
Schmitz Stefan Heinz Zahnarzt,,02408 9 57 61 07,,52076,Aachen,Albert-Einstein-Str. 28,5.084.092,627.556,nein
Winkler Klaus Dr. Zahnarzt,dr.klaus.winkler@web.de,07361 6 45 00,,73430,Aalen,Friedrichstr. 54,488.396.478,100.891.601,nein
Weber Klaus Dr.med.dent Zahnarzt,dr-klaus-weber@t-online.de,07361 68 08 35,https://www.zahnarztpraxisdrweber.de/,73430,Aalen,Curfeßstr. 9,488.413.473,100.930.789,nein
Hegele Ludwig Dr. med. dent. Fachzahnarzt für Kieferorthopädie,info@hegele-kfo.de,07361 6 22 11,https://www.hegele-kfo.de/,73430,Aalen,Stadelgasse 25,488.384.676,100.921.926,nein
"Basalyk-Detzel B., Basalyk Steffen Dres.med.dent. Kieferorthopäden, Kathrin",praxis@dr-basalyk.de,07361 6 81 45,https://www.dr-basalyk.de/,73430,Aalen,Friedrichstr. 67,488.406.853,100.883.906,nein
Reier J. Dr. Praxis für Implantologie,praxis@zahnaerzte-im-wiz.de,07361 5 28 07 10,https://zahnaerzte-im-wiz.de/,73431,Aalen,Ulmer Str. 124,488.297.518,101.088.732,nein
Krauß Eva Dr. Zahnärztin,,07361 3 27 27,,73431,Aalen,Alte Heidenheimer Str. 42,488.361.315,100.991.579,nein
Rathgeber Christian Zahnarzt,,07361 6 11 90,,73430,Aalen,Wiener Str. 1,52.534.701,135.490.187,nein
"Baur Werner Dr.med.dent., Baur Helga Zahnärzte",,07361 6 83 11,,73430,Aalen,Bischof-Fischer-Str. 40,488.362.814,100.897.725,nein
Erdogan Birol Zahnarzt,,07361 6 94 55,,73430,Aalen,Stuttgarter Str. 31,488.358.564,100.941.735,nein
"Esber M. Dr., Götting M. Dr., V. Dr. Gemeinschaftspraxis Zahnärzte",,07361 94 14 66,,73434,Aalen,Wellandstr. 74,488.413.374,100.602.762,nein
Kuschill Nikolaus Zahnarztpraxis,,07361 96 06 06,,73430,Aalen,Südlicher Stadtgraben 11,488.365.806,100.943.602,nein
Kuhns Volker Dr.med.dent. Zahnarzt,,07367 91 96 52,,73432,Aalen,Ebnater Hauptstr. 57,488.016.751,10.183.484,nein
Hofmann Rainer Klaus Zahnarzt,,07366 92 28 42,,73434,Aalen,Schloßäckerring 9,4.784.935,1.282.197,nein
Buresch Armin Dr.dent.med. Zahnarzt,kontakt@dr-buresch.de,,https://www.dr-buresch.de/,73432,Aalen,Waldhäuser Str. 7,488.164.051,101.277.336,nein
Krauss Jochen Dr.med.dent.,,07361 8 75 45,,73432,Aalen,Kocherstr. 39,488.181.691,101.244.959,nein
Emke Knut Dr. Zahnarztpraxis,,07361 7 22 32,,73433,Aalen,Karlsplatz 9,488.665.874,101.053.444,nein
Garzorz Karl Dr.med.dent. Zahnarzt,,07361 7 84 22,,73433,Aalen,Wilhelmstr. 21,488.645.782,101.040.646,nein
Hofmann Michael Dr.med.dent. Zahnarzt,,07361 7 96 26,,73433,Aalen,Karlsplatz 13,51.427.675,7.074.928.000.000.000,nein
Blas Marie-Isabel,zahnarzt_blas@yahoo.com,06120 36 30,,65326,Aarbergen-Kettenbach,Daisbacher Weg 2,5.024.832,808.213,nein
Greif Claudia Dr. Zahnarzt,,09178 53 53,,91183,Abenberg,Spalter Str. 13,492.397.688,109.613.636,nein
Ostertag Christian Dr. Zahnarzt,,09178 9 97 70 37,,91183,Abenberg,Spalter Str. 56A,492.358.481,109.558.678,nein
Heinrich Werner Dr. Zahnarzt,,09443 25 60,https://www.dr-werner-heinrich.de/,93326,Abensberg,Römerstr. 17,50.922.205,6.955.483.300.000.000,nein
Straube Axel Dr. Zahnarzt,,09443 66 44,https://www.dentalpraxis-abensberg.de/,93326,Abensberg,Münstererstr. 9C,488.169.184,118.475.898,nein
Die Zahnspanglerei Lena Dr. Lena Spangler Zahnärztin,,09443 74 50,https://www.zahnspanglerei.de/,93326,Abensberg,Ulrichstr. 21,5.011.960.939.999.990,8.785.410.299.999.990,nein
Ohneis Maximilian Dr. Dr. Zahnarzt,,09443 9 00 67,https://www.maxohneis.de/,93326,Abensberg,Werner-von-Siemens-Str. 1,4.919.809.799.999.990,71.394.763,nein
Warnick Michael Dr.med.dent. Zahnarztpraxis,,09443 9 25 77 20,https://www.zahnarzt-dr-warnick.com/,93326,Abensberg,An den Sandwellen 7,48.812.086,118.597.746,nein
Ahrend Siegrid Dr.,,03491 41 40 14,,6888,Abtsdorf,Dr.-Kurt-Fischer-Str. 10A,5.346.417.049.999.990,9.955.800.799.999.990,nein
Drs Kurz Johanna und Patrick und Kollegen,,07841 2 52 11,https://www.zahnarztpraxis-am-stadtgarten.de/,77855,Achern,Am Stadtgarten 28,486.296.655,8.074.351,nein
Feth Ulrich Zahnarzt,,07841 2 60 50,,77855,Achern,Im Schloßfeld 15,486.539.683,80.506.573,nein
Guth Valeska Dr.med.dent. Zahnärztin,,07841 2 71 81,https://zahnarztpraxis-guth.de/,77855,Achern,Wiesenrain 2,486.057.661,80.322.628,nein
Stolz Peter Dr. med. dent.,dr.stolz-achim@t-online.de,04202 33 44,https://www.kieferorthopaedie-achim.de/,28832,Achim,Paulsbergstr. 24,52.227.269,13.660.335,nein
Düweling & Kollegen,info@zahnärzte-achim.de,04202 8 20 30,https://www.xn--zahnrzte-achim-8hb.de/,28832,Achim,Zum Achimer Bahnhof 23,50.181.299,85.951.382,nein
Pfeiffer Thomas Dr.,,04202 20 77,https://www.pfeiffer-zahnarzt-achim.de/,28832,Achim,Am Marktplatz 2A,49.743.409,86.184.443,nein
Köhler C. Dr.,,04202 48 00,https://www.xn--rztehaus-achim-4hb.de/,28832,Achim,Meislahnstr. 2,530.085.901,90.427.145,nein
Haack & Kollegen,,04202 76 78 40,https://haack-kollegen.de/,28832,Achim,Pavillonstr. 4,5.069.314,1.164.098,nein
Anneken Eberhard Dr.med.dent. Zahnarzt,,04202 8 12 81,https://www.dr-anneken.de/,28832,Achim,Meislahnstr. 4,5.300.874,9.043,nein
Schriefer Claas,,04202 88 15 88,https://www.zahnarzt-schriefer.de/,28832,Achim,Obernstr. 80,530.090.501,90.414.079,nein
Golbaz Majid,,04202 91 00 91,https://zahnimplantate-achim.de/,28832,Achim,Langenstr. 1B,530.121.799,90.339.014,nein
Praxis für Zahnheilkunde Günther Schlake Zahnarzt,,04202 91 04 04,https://zahnarztpraxis-schlake.de/,28832,Achim,Bremer Str. 99,530.165.465,90.163.632,nein
Mauer Stefanie Dr.,,04202 7 03 43,https://www.zahnarztmauer.de/,28832,Achim,Bierdener Str. 15,530.054.101,9.083.368,nein
Baessmann-Bischoff Hanna u. Möllenberg Anna Dr.,,04202 8 44 11,https://www.praxis-moellenberg-baessmann-bischoff.de/,28832,Achim,Steinweg 46,530.127.601,90.102.408,nein
Pauls Henning Dr. Zahnarzt,,04202 8 38 68,https://www.zahnarzt-pauls.de/,28832,Achim,Verdener Str. 5,530.032.494,90.528.013,nein
Zahnarztpraxis Dr. Viola-Gerber Zahnarzt,,,,88480,Achstetten,Langer Weg 21,48.261.223,98.925.114,nein
Franke Thi Dr. med. Zahnärztin,,05506 73 21,https://www.dr-t-franke.de/,37139,Adelebsen,Mühlenanger 20,515.812.323,97.571.678,nein
Meyer Volker Zahnarzt,,05506 99 95 91,,37139,Adelebsen,Lange Str. 43,515.799.645,97.555.538,nein
Häußler Tobias und Christian Zahnarztpraxis,,06291 12 00,https://www.zahnarzt-haeussler.de/,74740,Adelsheim,Bahnallee 12,494.011.922,93.929.686,nein
Deisenhofer Karl-Heinz Dr.med.dent.,,08294 17 13,https://www.zahnarztpraxis-deisenhofer.de/,86477,Adelsried,Höllweg 1,484.240.216,10.720.928,nein
Geschwandtner Matthias Dr.med.dent. Zahnarzt,dr.m.geschwandtner@t-online.de,04131 18 01 20,https://www.dr-geschwandtner.de/,21365,Adendorf,Neue Str. 2,53.274.214,10.428.417,nein
Feddersen Marcus Dr. Zahnarzt,service@zahnarzt-adendorf.de,04131 18 82 18,https://www.zahnarzt-adendorf.de/,21365,Adendorf,Sandweg 5,532.797.185,104.379.637,nein
Pour Pezhman Dr. Zahnarzt,,04131 18 00 01,https://www.zahnarztpraxis-adendorf.de/,21365,Adendorf,Kirchweg 50,4.953.660.310.000.000,83.540.303,nein
Seifert Magdalena Dr. Fachzahnarzt für Kieferorthopädie,,04131 77 51 70,https://www.kfo-seifert.de/,21365,Adendorf,Röthenweg 12,53.288.922,10.433.381,nein
Geipel Heike Dr.med.dent. Zahnarztpraxis,,037423 22 53,,8626,Adorf/Vogtl.,Markt 30,503.206.054,122.537.112,nein
Hiller Marilyn Dr.,,037423 25 23,https://www.zahnarztpraxis-hiller.de/,8626,Adorf/Vogtl.,Hohe Str. 6,503.200.052,122.538.189,nein
Klingeberg Dr. Zahnarzt,praxis@drklingeberg.de,05154 40 11,https://www.drklingeberg.de/,31855,Aerzen,Osterstr. 37,52.047.647,92.637.764,nein
Pardos Carmen Dr.medic-stom. Zahnärztin,,07144 3 50 52,,71563,Affalterbach,Marbacher Str. 17,4.964.680.000.000.000,7.159.739.999.999.990,nein
Häckert Michael Dr.,,04247 4 74,https://www.dr-haeckert.de/,27257,Affinghausen,Sudwalder Str. 235,4.905.611.769.999.990,92.544.472,nein
Katja Klose Zahnärztin Zahnarztpraxis am Schloss,info@praxis-katjaklose.de,02561 15 77,https://praxis-katjaklose.de/,48683,Ahaus,Markt 22,49.997.281,8.274.360.099.999.990,nein
"Fischer, Manfred, Zahnarzt",,02561 23 95,https://www.drreber-fischer.de/,48683,Ahaus,Arnoldstr. 13,520.786.196,70.022.247,nein
Linke Martin Dr.,,02561 4 43 06,https://www.prophylaxepraxis-ahaus.de/,48683,Ahaus,Wessumer Str. 64B,520.820.726,70.027.408,nein
Hegmann Dr. Michael I Vahle-Hinz Dr. Kai Gemeinschaftspraxis für Kieferorthopädie,,02561 57 82,https://kieferorthopaedie-ahaus.de/,48683,Ahaus,Am Schloßgraben 3-5,520.740.208,70.084.781,nein
Braun Josef Dr.,,02561 97 16 85,https://www.zahnarzt-braun-ahaus.de/,48683,Ahaus,Wallstr. 21,520.745.553,70.064.699,nein
Gärtner Irina,,02567 18 19,,48683,Ahaus,Haaksbergener Str. 27,51.062.376,11.249.948,nein
Zahnärzte Ottenstein Dr. Philips und Dr. Krämer,,02561 8 11 36,,48683,Ahaus,Am Burggraben 2B,520.726.048,69.166.645,nein
"Schmidt Morthen Dr.med.dent, Zahnarztpraxis",,02561 86 55 84-0,https://www.diefamilienzahnaerzte.de/,48683,Ahaus,Stadtlohner Str. 22,520.674.356,69.804.094,nein
Terliesner Jörg Zahnarzt,,02561 88 77,https://www.zahnarztpraxis-terliesner.de/,48683,Ahaus,Vor Pastors Busch 1,520.678.466,69.734.532,nein
Krohn Jörg Dipl.-Stomatologe Zahnarztpraxis,dr.j.krohn@za-mv.de,038378 26 30,https://www.zahnarzt-krohn.de/,17419,Ahlbeck,Saarstr. 5,5.355.639.559.999.990,100.567.062,nein
Wagner Hannelore Dipl.-Med. Zahnärztin,,038378 2 24 40,,17419,Ahlbeck,Dreherstr. 7A,4.813.683.109.999.990,116.084.844,nein
Zschüttig John Zahnarzt,,038378 2 82 17,,17419,Ahlbeck,Wolliner Str. 2,4.974.918.539.999.990,7.269.461.899.999.990,nein
Richter Gerrit Dr.,,038378 2 83 14,,17419,Ahlbeck,Kirchenstr. 10,5.010.727.499.999.990,86.712.519,nein
Wasserloos Frank Dr.,info@dr-wasserloos.de,02382 8 24 92,https://www.dr-wasserloos.de/,59227,Ahlen,Alter Hof 5,517.621.305,78.887.281,nein
Köhler Michael Dr.,zahnarzt.dr.koehler@web.de,02382 88 92 40,https://www.zahnarzt-dr-koehler-ahlen.de/,59229,Ahlen,Gebrüder-Kerkmann-Platz 4,51.762.112,78.987.374,nein
Franke Christina Zahnärztin,,02382 20 44,,59227,Ahlen,Nordstr. 26,517.649.721,7.892.919,nein
Vossenberg Ansgar Dr. med. dent.,,02382 33 80,https://www.vossenberg-implantate.de/,59229,Ahlen,Bismarckstr. 9,517.638.509,78.959.996,nein
Pollmeier-Genderka Gudrun Dr.,,02382 36 77,https://www.wortmann-architekten.de/,59227,Ahlen,Oststr. 17A,51.513.832,7.468.596.400.000.000,nein
Bartkowiak Markus Dr.,,02382 38 49,https://www.zahnarzt-ahlen.info/,59229,Ahlen,Von-Geismar-Str. 4,517.638.945,78.956.516,nein
Gönes Mehmet Kieferorthopädische Praxis,,02382 40 34,https://www.kfo-gones.de/,59227,Ahlen,Weststr. 120,517.633.056,78.825.609,nein
